"플랫폼","프로모션명","할인코드","할인율/할인금액","최소구매금액","유효기간(사용가능기간)","사용조건 및 유의사항","URL"
"다이슨 공식몰","새해복 혜택 - 에어랩 코안다2x & 슈퍼소닉 뉴럴","NEWYEARBOK","10% 추가 할인","해당 제품 구매","2025년 2월 9일-22일","적용 제품: NEW 다이슨 에어랩 코안다2x 멀티 스타일러 앤 드라이어 (세라믹 핑크/로즈 골드), (재스퍼 플럼), 다이슨 슈퍼소닉 뉴럴 헤어드라이어. 장바구니에서 쿠폰 적용. 다른 할인과 중복 불가할 수 있음.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","새해복 혜택 - 에어랩 코안다2x 앰버실크/샴페인핑크","NEWYEARBOK2","100,000원 할인","해당 제품 구매","2025년 2월 9일-22일","적용 제품: NEW 에어랩 코안다2x 멀티 스타일러 앤 드라이어 (앰버 실크/샴페인 핑크). 장바구니에서 쿠폰 적용. 다른 할인과 중복 불가할 수 있음.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","카드사 즉시 할인 (5%)","없음","5% 즉시 할인","해당 제품 단품 구매","2025년 1월 31일 - 2월 28일","대상 카드: 하나(하나BC카드 제외), 삼성, 롯데 카드. 적용 제품: V12s 디텍트 슬림 서브마린 시리즈, V15 오리진 플러피, V16 피스톤 애니멀 시리즈, 에어랩 i.d. 멀티 스타일러, 빅+콰이엇 포름알데히드 공기청정기, 핫앤쿨/가습 공기청정기 시리즈. 예산 소진 시 조기 종료. 단품 구매 시에만 적용.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","카드사 즉시 할인 (10%)","없음","10% 즉시 할인","해당 제품 단품 구매","2025년 1월 31일 - 2월 28일","대상 카드: 하나(하나BC카드 제외), 삼성, 롯데 카드. 적용 제품: 다이슨 에어랩 오리진 멀티 스타일러 앤 드라이어(니켈/코퍼), 다이슨 디지털 슬림 서브마린. 예산 소진 시 조기 종료. 단품 구매 시에만 적용.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","롯데카드 캐시백 프로모션","없음","120,000원 캐시백","300,000원 이상 구매","2025년 2월 1일 - 2월 28일","다이슨 공식몰에서 롯데카드로 결제 시. 모바일 링크로 신청 및 이벤트 등록 필수. 이벤트 시작 전 6개월간 롯데 개인신용카드 사용 이력이 없는 고객만 가능. 같은 달 다른 이벤트와 중복 불가. 예산 소진 시 조기 종료.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","삼성카드 포인트 사용","없음","삼성카드 포인트 결제 차감","해당 없음","2025년 1월 31일 - 2월 28일","삼성카드 포인트로 결제 금액 차감 가능. 예산 소진 시 조기 종료.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","현대카드 M포인트 할인","없음","최대 5% M포인트 사용","해당 없음","2025년 1월 31일 - 2월 28일","현대카드 M포인트 최대 5% 사용 가능. 예산 소진 시 조기 종료.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","토스페이 포인트 적립","없음","5% 토스 포인트 적립 (최대 100,000원)","300,000원 이상 계좌이체 결제","2025년 4월 30일 - 5월 30일","계좌이체 결제만 가능. 다른 할인과 중복 불가.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","카카오페이 페이포인트 적립","없음","7% 카카오페이 페이포인트 적립 (최대 100,000원)","300,000원 이상 결제","2025년 1월 31일 - 2월 28일","카카오페이로 결제 시. 포인트는 3월 지급. 조건 적용.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","오너 단독 할인 - 허쉬젯 컴팩트 공기청정기","없음","10% 오너 단독 할인","해당 제품 구매","2025년 2월 13일 이후 예약판매","적용 제품: 다이슨 허쉬젯 컴팩트 공기청정기 (블랙/틸), (화이트/실버). 기존 다이슨 제품 소유자 대상 단독 할인.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","네이버페이 포인트 적립 (헤어케어)","없음","최대 30,000~50,000 포인트 적립","해당 제품 구매 후 포토 리뷰 작성","명시되지 않음","적용 제품: NEW 다이슨 에어랩 코안다2x 및 슈퍼소닉 뉴럴 헤어드라이어 제품들. 네이버페이로 결제 후 포토 리뷰 작성 시 포인트 적립.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","카드사 무이자 할부 (롯데)","없음","최대 12개월 무이자 할부","250,000원 이상 ~ 3,000,000원 미만 결제","2025년 1월 31일 - 2월 28일","롯데 카드 사용 시. 법인/가족/선불카드 및 간편결제 제외.","https://www.dyson.co.kr/promotions/deals"
"다이슨 공식몰","카드사 무이자 할부 (현대/하나/삼성)","없음","최대 12개월 무이자 할부","300,000원 이상 ~ 3,000,000원 미만 결제","2025년 1월 31일 - 2월 28일","현대, 하나, 삼성 카드 사용 시. 법인/가족/선불카드 및 간편결제 제외.","https://www.dyson.co.kr/promotions/deals"
